State,Place,Date,Time,Infected,Total_Infected
Kerela,Thrissur,03-02-2020,Morning,1,1
Kerela,Alappuzha,03-02-2020,Morning,1,2
Kerela,Kasargod,03-02-2020,Morning,1,3
Delhi,Delhi,02-03-2020,Morning,1,4
Telangana,Hyderabad,02-03-2020,Morning,1,5
Rajasthan,Jaipur,03-03-2020,Morning,2,7
Haryana,Foreign,04-03-2020,Morning,14,21
Uttar Pradesh,Agra,04-03-2020,Morning,6,27
Delhi,Gurugram,05-03-2020,Morning,1,28
Delhi,Ghaziabad,06-03-2020,Morning,1,29
Delhi,Delhi,06-03-2020,Morning,1,30
Ladakh,Ladakh,07-03-2020,Morning,2,32
Tamil Nadu,Chennai,07-03-2020,Morning,1,33
Kerela,Pathnamthitta,08-03-2020,Morning,5,38
Kerela,Ernakulum,09-03-2020,Morning,1,39
Uttar Pradesh,Agra,09-03-2020,Morning,3,42
Jammu And Kashmir,Jammu,09-03-2020,Morning,1,43
Punjab,Hoshiyarpur,09-03-2020,Evening,1,44
Karnataka,Bengaluru,09-03-2020,Evening,1,45
Karnataka,Bengaluru,10-03-2020,Evening,3,48
Maharashtra,Pune,10-03-2020,Evening,2,50
Kerela,Pathanamthitta,10-03-2020,Evening,6,56
Maharashtra,Pune,11-03-2020,Morning,3,59
Kerela,Ernakulum,11-03-2020,Morning,2,61
Rajasthan,Jaipur,11-03-2020,Evening,1,62
Delhi,Delhi,11-03-2020,Evening,1,63
Delhi,Delhi,12-03-2020,Evening,1,64
Uttar Pradesh, ,12-03-2020,Evening,2,66
Ladakh,Ladakh,12-03-2020,Evening,1,67
Maharashtra, ,12-03-2020,Evening,6,73
Andhra Pradesh, ,12-03-2020,Evening,1,74
Karnataka, ,13-03-2020,Evening,2,76
Maharashtra,Mumbai,13-03-2020,Evening,3,79
Kerela, ,13-03-2020,Evening,2,81
Delhi,Delhi,13-03-2020,Evening,1,82
Jammu And Kashmir, ,15-03-2020,Evening,1,83
Kerela, ,15-03-2020,Evening,3,86
Rajasthan, ,15-03-2020,Evening,1,87
Telangana, ,15-03-2020,Evening,2,89
Maharashtra, ,15-03-2020,Evening,17,106
Uttar Pradesh, ,15-03-2020,Evening,1,107
Kerela, ,16-03-2020,Evening,1,108
Maharashtra, ,16-03-2020,Evening,1,109
Odisha, ,16-03-2020,Evening,1,110
Uttarakhand, ,16-03-2020,Evening,1,111
Ladakh,1,16-03-2020,Evening,1,112
Jammu And Kashmir, ,16-03-2020,Evening,1,113
Uttar Pradesh, ,16-03-2020,Evening,1,114
West Bengal, ,18-03-2020,Evening,1,115
Ladakh, ,18-03-2020,Evening,4,119
Telangana, ,18-03-2020,Evening,3,122
Delhi, ,18-03-2020,Evening,3,125
Maharashtra, ,18-03-2020,Evening,10,135
Pondicherry, ,18-03-2020,Evening,1,136
Haryana, ,18-03-2020,Evening,3,139
Karnataka, ,18-03-2020,Evening,5,144
Kerela,,18-03-2020,Evening,4,148
Uttar Pradesh, ,18-03-2020,Evening,3,151
